Male,United States,21,,Python,Bachelor's degree,Computer Science,,A bachelor's degree
Male,Argentina,41,Engineer,Python,Professional degree,,I don't write code to analyze data,A professional degree
Male,Japan,34,Software Developer/Software Engineer,Python,Master's degree,Engineering (non-computer focused),6 to 10 years,I don't know/not sure
Male,Other,28,Scientist/Researcher,Python,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,India,21,,Python,Bachelor's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,India,23,,Python,Bachelor's degree,Computer Science,Less than a year,"Some college/university study, no bachelor's degree"
Male,Spain,31,,,,,,
Male,United Kingdom,29,Researcher,Python,Doctoral degree,Mathematics or statistics,6 to 10 years,A master's degree
Male,Russia,33,Software Developer/Software Engineer,Python,Master's degree,Computer Science,More than 10 years,A master's degree
Male,Italy,24,Machine Learning Engineer,Python,Master's degree,Computer Science,1 to 2 years,Primary/elementary school
Male,Canada,49,,,,,,
Male,India,36,,,,,,
Male,Poland,24,,Python,Bachelor's degree,Computer Science,,A master's degree
Male,Russia,22,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,3 to 5 years,A master's degree
Male,Turkey,30,Data Scientist,Python,Master's degree,,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,India,21,,Java,Bachelor's degree,Computer Science,,A bachelor's degree
Male,India,36,Researcher,R,Master's degree,,1 to 2 years,A doctoral degree
Male,Pakistan,30,Engineer,SQL,Master's degree,Electrical Engineering,3 to 5 years,A bachelor's degree
Male,Russia,27,Data Scientist,Python,Master's degree,Electrical Engineering,1 to 2 years,A professional degree
Male,India,32,,,,,,
Male,Japan,24,,Python,Bachelor's degree,Physics,,A bachelor's degree
Male,Russia,25,Software Developer/Software Engineer,Other,Bachelor's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,United Kingdom,27,,,,,,
Male,Taiwan,33,,Python,Master's degree,Electrical Engineering,,A doctoral degree
Female,India,27,Data Analyst,Python,Master's degree,"Information technology, networking, or system administration",1 to 2 years,A master's degree
Male,Greece,37,Engineer,R,Doctoral degree,Engineering (non-computer focused),3 to 5 years,High school
Male,South Africa,35,Statistician,Python,Master's degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Male,Other,31,,,,,,
Male,India,24,Data Scientist,R,Bachelor's degree,Engineering (non-computer focused),I don't write code to analyze data,A bachelor's degree
Male,United Kingdom,47,,Other,Bachelor's degree,Other,,High school
Male,People 's Republic of China,26,Machine Learning Engineer,Python,Master's degree,Electrical Engineering,1 to 2 years,A doctoral degree
Female,Taiwan,35,,Python,Master's degree,Physics,3 to 5 years,Primary/elementary school
Male,People 's Republic of China,37,Machine Learning Engineer,Python,Bachelor's degree,Computer Science,Less than a year,High school
Male,India,30,Other,R,Master's degree,Computer Science,I don't write code to analyze data,A bachelor's degree
Male,United States,24,,Python,Bachelor's degree,Biology,1 to 2 years,A bachelor's degree
Female,United States,30,Data Scientist,Python,Doctoral degree,,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,Japan,26,,Python,Master's degree,Computer Science,,"Some college/university study, no bachelor's degree"
Male,India,27,Data Analyst,Python,Bachelor's degree,Computer Science,1 to 2 years,High school
Male,People 's Republic of China,25,,Python,Bachelor's degree,Electrical Engineering,,I prefer not to answer
Male,Ukraine,32,,,,,,
Male,Canada,24,,Python,Master's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,India,30,Business Analyst,Python,Master's degree,Engineering (non-computer focused),Less than a year,High school
Female,Romania,47,Scientist/Researcher,,Doctoral degree,A health science,More than 10 years,
Male,India,30,Software Developer/Software Engineer,R,Bachelor's degree,Electrical Engineering,More than 10 years,A master's degree
Male,Other,26,,,,,,
Male,Philippines,29,Data Analyst,Python,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,A bachelor's degree
Male,India,29,Business Analyst,R,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,A bachelor's degree
Male,India,33,Software Developer/Software Engineer,Java,Master's degree,Computer Science,I don't write code to analyze data,Primary/elementary school
"Non-binary, genderqueer, or gender non-conforming",Finland,28,Scientist/Researcher,Python,Master's degree,Physics,Less than a year,A master's degree
Male,India,27,Predictive Modeler,SQL,Master's degree,Electrical Engineering,3 to 5 years,A master's degree
Male,Germany,31,Machine Learning Engineer,Python,Doctoral degree,Computer Science,6 to 10 years,I prefer not to answer
Male,Russia,22,Data Scientist,Python,Bachelor's degree,Mathematics or statistics,1 to 2 years,A doctoral degree
Male,Taiwan,28,,Python,Master's degree,Other,3 to 5 years,A bachelor's degree
Male,United States,58,Programmer,Python,Master's degree,Computer Science,More than 10 years,A master's degree
Male,India,26,Data Analyst,Python,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,Italy,46,Statistician,R,Doctoral degree,Mathematics or statistics,More than 10 years,High school
Male,India,22,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,India,22,,SQL,Bachelor's degree,Computer Science,Less than a year,A professional degree
Male,Spain,,Business Analyst,R,Master's degree,Physics,3 to 5 years,A bachelor's degree
Male,Turkey,27,Business Analyst,Python,Master's degree,Management information systems,3 to 5 years,A master's degree
Male,Poland,21,Data Scientist,Python,Bachelor's degree,Computer Science,Less than a year,High school
Male,Germany,38,DBA/Database Engineer,Python,Master's degree,Management information systems,6 to 10 years,High school
Male,Israel,29,Researcher,R,Master's degree,Psychology,3 to 5 years,A doctoral degree
Female,Portugal,31,,,,,,
Male,India,30,Software Developer/Software Engineer,Python,Master's degree,,1 to 2 years,A master's degree
Male,India,29,Software Developer/Software Engineer,Python,Bachelor's degree,"Information technology, networking, or system administration",6 to 10 years,A master's degree
Male,Spain,37,Scientist/Researcher,Python,Doctoral degree,Computer Science,3 to 5 years,I prefer not to answer
Male,United States,21,,Python,Bachelor's degree,Computer Science,,A master's degree
Male,South Africa,26,Software Developer/Software Engineer,Python,Master's degree,Mathematics or statistics,3 to 5 years,High school
Male,India,34,Scientist/Researcher,C/C++/C#,Bachelor's degree,Computer Science,1 to 2 years,A master's degree
Female,Taiwan,24,,R,Master's degree,Mathematics or statistics,3 to 5 years,A doctoral degree
Female,United Kingdom,39,Data Scientist,Python,Doctoral degree,Biology,1 to 2 years,High school
Male,Netherlands,25,Data Analyst,Python,Master's degree,,3 to 5 years,A bachelor's degree
Male,India,27,Other,R,Master's degree,Engineering (non-computer focused),Less than a year,A master's degree
Male,Australia,33,DBA/Database Engineer,R,Bachelor's degree,Computer Science,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,India,24,,R,Master's degree,Computer Science,Less than a year,A professional degree
Male,Netherlands,56,Software Developer/Software Engineer,Python,Some college/university study without earning a bachelor's degree,Computer Science,6 to 10 years,High school
Male,India,21,,Python,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,A bachelor's degree
Male,India,26,Software Developer/Software Engineer,,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,Japan,31,Machine Learning Engineer,Python,Master's degree,Engineering (non-computer focused),Less than a year,A doctoral degree
Female,Singapore,25,,Python,Bachelor's degree,Electrical Engineering,,A bachelor's degree
Male,Other,26,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,India,28,Programmer,Python,I did not complete any formal education past high school,,3 to 5 years,A bachelor's degree
Male,United States,16,Data Scientist,R,Some college/university study without earning a bachelor's degree,Mathematics or statistics,Less than a year,A doctoral degree
Male,South Africa,39,Programmer,SQL,Bachelor's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,India,25,Data Scientist,R,Master's degree,Other,1 to 2 years,Primary/elementary school
Male,France,45,,,,,,
Female,France,32,Data Scientist,R,Doctoral degree,Mathematics or statistics,6 to 10 years,A bachelor's degree
Male,Hungary,50,Engineer,SQL,Some college/university study without earning a bachelor's degree,Electrical Engineering,Less than a year,A bachelor's degree
Male,United States,65,Other,R,Doctoral degree,Engineering (non-computer focused),More than 10 years,A bachelor's degree
Male,Netherlands,30,Data Scientist,Python,Master's degree,Mathematics or statistics,3 to 5 years,A master's degree
Male,India,28,Business Analyst,Python,Bachelor's degree,Engineering (non-computer focused),6 to 10 years,A master's degree
Male,Spain,33,Other,Python,Master's degree,Computer Science,Less than a year,High school
Male,United States,26,,Python,Master's degree,Engineering (non-computer focused),1 to 2 years,No education
Female,India,33,Software Developer/Software Engineer,Python,Master's degree,Computer Science,I don't write code to analyze data,A bachelor's degree
Male,Indonesia,23,Statistician,R,Bachelor's degree,Mathematics or statistics,1 to 2 years,Primary/elementary school
Male,Poland,26,Engineer,Python,Bachelor's degree,Engineering (non-computer focused),Less than a year,Primary/elementary school
Male,India,33,Other,R,Bachelor's degree,Engineering (non-computer focused),I don't write code to analyze data,A doctoral degree
Male,Portugal,30,Data Scientist,R,Doctoral degree,Electrical Engineering,1 to 2 years,High school
Female,People 's Republic of China,28,Computer Scientist,Python,Master's degree,Computer Science,More than 10 years,A bachelor's degree
Male,Japan,35,Scientist/Researcher,Python,Master's degree,Computer Science,More than 10 years,A master's degree
Male,Russia,27,Scientist/Researcher,Python,Master's degree,"Information technology, networking, or system administration",6 to 10 years,A master's degree
Female,Russia,33,Business Analyst,SQL,Master's degree,Other,Less than a year,A master's degree
Male,Other,27,Other,R,Master's degree,,I don't write code to analyze data,A bachelor's degree
Male,India,44,Data Scientist,R,Professional degree,,1 to 2 years,A doctoral degree
Male,India,32,Software Developer/Software Engineer,Python,Master's degree,Physics,1 to 2 years,A bachelor's degree
"Non-binary, genderqueer, or gender non-conforming",Germany,28,,,,,,
Male,Netherlands,25,Data Scientist,Python,Master's degree,Computer Science,3 to 5 years,A professional degree
Male,India,21,,Python,Bachelor's degree,Electrical Engineering,Less than a year,A master's degree
Male,India,21,,Python,Bachelor's degree,Engineering (non-computer focused),,A bachelor's degree
Male,Other,23,,Python,Bachelor's degree,Computer Science,,I don't know/not sure
Male,People 's Republic of China,22,,R,Bachelor's degree,"Information technology, networking, or system administration",,High school
Male,United States,15,,,,,,
Male,Other,29,,Python,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",,A master's degree
Male,Netherlands,31,Data Scientist,Python,Master's degree,Physics,3 to 5 years,High school
Male,Ukraine,27,Data Scientist,Python,Master's degree,Computer Science,1 to 2 years,A professional degree
Male,Ukraine,29,Data Scientist,R,Master's degree,Mathematics or statistics,3 to 5 years,A master's degree
Male,Iran,31,Scientist/Researcher,Python,Doctoral degree,Electrical Engineering,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,Indonesia,33,Software Developer/Software Engineer,R,Bachelor's degree,Other,I don't write code to analyze data,High school
Female,India,26,,Matlab,Master's degree,Computer Science,Less than a year,A bachelor's degree
Male,United Kingdom,22,Data Scientist,Python,Master's degree,Mathematics or statistics,1 to 2 years,High school
Male,France,29,Data Scientist,Python,Doctoral degree,Mathematics or statistics,6 to 10 years,A doctoral degree
Male,United States,40,,Python,Master's degree,A humanities discipline,More than 10 years,A master's degree
Male,India,22,,R,Bachelor's degree,Other,Less than a year,High school
Male,India,24,,Python,Master's degree,Computer Science,Less than a year,"Some college/university study, no bachelor's degree"
Male,South Africa,53,Software Developer/Software Engineer,R,Some college/university study without earning a bachelor's degree,I never declared a major,I don't write code to analyze data,High school
Female,Norway,29,,,,,,
Male,Sweden,29,Machine Learning Engineer,Python,Doctoral degree,Mathematics or statistics,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,United States,20,Software Developer/Software Engineer,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,A master's degree
Male,Philippines,37,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Male,Belarus,26,Business Analyst,R,Bachelor's degree,Mathematics or statistics,Less than a year,A bachelor's degree
Male,Poland,27,Programmer,Python,Master's degree,Management information systems,I don't write code to analyze data,"Some college/university study, no bachelor's degree"
Female,Other,26,,,,,,
Male,United States,34,,R,Bachelor's degree,Mathematics or statistics,1 to 2 years,A bachelor's degree
Male,Taiwan,48,,,,,,
Male,Russia,24,,,,,,
Male,India,30,Data Scientist,R,Master's degree,Engineering (non-computer focused),1 to 2 years,A bachelor's degree
Male,Russia,43,Data Scientist,Python,Doctoral degree,Other,More than 10 years,A doctoral degree
Male,United States,20,,Python,Some college/university study without earning a bachelor's degree,Other,More than 10 years,A master's degree
Male,Taiwan,26,Software Developer/Software Engineer,Python,Master's degree,Other,3 to 5 years,A bachelor's degree
Male,India,27,Other,R,Master's degree,Engineering (non-computer focused),3 to 5 years,A master's degree
Male,Ireland,41,Engineer,Python,Master's degree,Physics,More than 10 years,High school
Male,Japan,54,Business Analyst,Python,Master's degree,Engineering (non-computer focused),Less than a year,A bachelor's degree
Male,India,21,,Scala,Bachelor's degree,Computer Science,Less than a year,A master's degree
Male,United States,23,Data Scientist,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Female,Canada,45,Data Scientist,Python,Master's degree,Mathematics or statistics,1 to 2 years,A doctoral degree
Female,Belgium,45,,,,,,
Female,United States,49,Data Scientist,Python,Doctoral degree,A humanities discipline,More than 10 years,A bachelor's degree
Male,Russia,29,Business Analyst,Python,Professional degree,,1 to 2 years,A master's degree
Male,Other,35,,,,,,
Male,India,37,Data Analyst,Python,Bachelor's degree,Computer Science,I don't write code to analyze data,High school
Male,South Korea,48,Researcher,Python,Doctoral degree,Computer Science,More than 10 years,
Male,United Kingdom,48,Data Scientist,Python,Doctoral degree,Computer Science,1 to 2 years,A bachelor's degree
Male,Taiwan,23,Machine Learning Engineer,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,A master's degree
Male,Malaysia,24,,Python,Bachelor's degree,Electrical Engineering,1 to 2 years,A doctoral degree
Male,South Africa,50,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,High school
Male,Spain,42,Programmer,Python,Master's degree,Mathematics or statistics,1 to 2 years,
Male,Indonesia,34,Other,Python,Master's degree,Computer Science,6 to 10 years,Primary/elementary school
Male,India,22,Programmer,Python,Bachelor's degree,Computer Science,1 to 2 years,I prefer not to answer
Male,Ireland,24,Engineer,Python,Master's degree,Electrical Engineering,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,France,25,Scientist/Researcher,Python,Master's degree,Biology,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,India,20,,Python,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,India,22,Programmer,,Bachelor's degree,Electrical Engineering,1 to 2 years,A bachelor's degree
Male,Other,29,Business Analyst,Scala,Master's degree,Engineering (non-computer focused),3 to 5 years,No education
Male,Ireland,39,Machine Learning Engineer,Python,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,United States,26,Data Analyst,R,Bachelor's degree,Physics,3 to 5 years,A master's degree
Male,Other,50,Data Scientist,C/C++/C#,Master's degree,Electrical Engineering,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,Belgium,25,,,,,,
Male,United States,28,,Python,Master's degree,,,A bachelor's degree
Male,Poland,31,,,,,,
Male,Australia,32,,R,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,A master's degree
Male,United Kingdom,65,Statistician,,Bachelor's degree,Mathematics or statistics,More than 10 years,High school
Male,France,55,Data Miner,Python,Doctoral degree,Other,More than 10 years,Primary/elementary school
Male,India,28,Software Developer/Software Engineer,Python,Master's degree,Computer Science,I don't write code to analyze data,I prefer not to answer
Male,Greece,36,DBA/Database Engineer,Python,Master's degree,Physics,3 to 5 years,High school
Male,Germany,26,Scientist/Researcher,Other,Master's degree,Engineering (non-computer focused),6 to 10 years,"Some college/university study, no bachelor's degree"
Male,Taiwan,21,Machine Learning Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,A master's degree
Male,Israel,28,Other,Python,Master's degree,Computer Science,3 to 5 years,High school
Male,India,21,,Python,Bachelor's degree,Computer Science,,A bachelor's degree
Male,India,27,Data Scientist,Python,Bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,No education
Male,Other,29,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,Australia,50,,,,,,
Male,Spain,37,Business Analyst,Python,Master's degree,A social science,Less than a year,A bachelor's degree
Male,India,23,,,,,,
Male,France,25,Data Scientist,Scala,Master's degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Male,India,23,,Python,Master's degree,Electrical Engineering,Less than a year,A bachelor's degree
Male,Japan,22,,Python,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,A bachelor's degree
Male,Belgium,37,Data Scientist,R,Master's degree,Electrical Engineering,More than 10 years,A master's degree
Male,India,35,Data Scientist,Python,Master's degree,Physics,6 to 10 years,A master's degree
Male,Singapore,49,Machine Learning Engineer,Python,Doctoral degree,Mathematics or statistics,More than 10 years,A master's degree
Male,Russia,29,Data Scientist,Python,Doctoral degree,Mathematics or statistics,6 to 10 years,
Female,New Zealand,41,Data Analyst,Python,Master's degree,Other,1 to 2 years,A bachelor's degree
Female,India,23,,Python,Bachelor's degree,Computer Science,Less than a year,High school
Male,Taiwan,31,Researcher,R,Master's degree,Electrical Engineering,3 to 5 years,A bachelor's degree
Female,Nigeria,26,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,Russia,31,Computer Scientist,,Bachelor's degree,Computer Science,Less than a year,
Male,India,21,,C/C++/C#,Bachelor's degree,Electrical Engineering,,A bachelor's degree
Female,Turkey,28,Data Analyst,Python,Master's degree,Mathematics or statistics,1 to 2 years,High school
Male,Italy,50,Software Developer/Software Engineer,Python,Master's degree,Computer Science,More than 10 years,I prefer not to answer
Male,United States,27,Data Scientist,Python,Master's degree,Computer Science,3 to 5 years,High school
Male,Netherlands,23,Researcher,Python,Master's degree,Psychology,1 to 2 years,A master's degree
Male,India,21,,R,Bachelor's degree,Mathematics or statistics,Less than a year,High school
Male,Other,22,,Python,Bachelor's degree,Computer Science,,A bachelor's degree
Male,India,49,Data Scientist,R,Master's degree,Mathematics or statistics,More than 10 years,A master's degree
Male,India,35,,Python,Bachelor's degree,Computer Science,,High school
Male,Malaysia,32,DBA/Database Engineer,Python,Bachelor's degree,Management information systems,6 to 10 years,Primary/elementary school
Male,India,32,Machine Learning Engineer,Python,Bachelor's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,South Africa,27,Data Scientist,Python,Bachelor's degree,Electrical Engineering,1 to 2 years,A bachelor's degree
Male,India,25,Data Analyst,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,A bachelor's degree
Male,South Korea,,,,,,,
Male,Belgium,37,Business Analyst,Python,Master's degree,"Information technology, networking, or system administration",3 to 5 years,
Male,India,24,,Python,Bachelor's degree,Engineering (non-computer focused),Less than a year,A master's degree
Male,Israel,35,Scientist/Researcher,R,Master's degree,Other,6 to 10 years,A master's degree
Male,India,24,Data Scientist,Python,Bachelor's degree,Computer Science,Less than a year,
Male,India,28,Software Developer/Software Engineer,Python,Master's degree,Mathematics or statistics,3 to 5 years,High school
Male,Sweden,42,Other,Python,Bachelor's degree,Electrical Engineering,1 to 2 years,A doctoral degree
Female,Republic of China,24,,Python,Bachelor's degree,Computer Science,,High school
Male,United Kingdom,26,DBA/Database Engineer,SQL,Bachelor's degree,Computer Science,1 to 2 years,High school
Male,India,26,Machine Learning Engineer,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,A master's degree
Male,India,29,Data Analyst,R,Bachelor's degree,Engineering (non-computer focused),1 to 2 years,A bachelor's degree
Female,India,22,,R,Bachelor's degree,Computer Science,1 to 2 years,A master's degree
Female,France,30,,,,,,
Male,Switzerland,27,,,,,,
Male,Italy,53,Machine Learning Engineer,Python,Doctoral degree,Physics,More than 10 years,A bachelor's degree
Male,Pakistan,26,Data Scientist,Python,Master's degree,Computer Science,3 to 5 years,High school
Male,Spain,40,Other,Python,Master's degree,Physics,More than 10 years,High school
Male,South Africa,28,Data Analyst,Python,Master's degree,Management information systems,3 to 5 years,A bachelor's degree
Male,Spain,39,Software Developer/Software Engineer,Python,Master's degree,Physics,3 to 5 years,No education
Male,France,56,Data Analyst,R,Master's degree,"Information technology, networking, or system administration",3 to 5 years,"Some college/university study, no bachelor's degree"
Male,Germany,35,Scientist/Researcher,Python,Doctoral degree,Electrical Engineering,6 to 10 years,A bachelor's degree
Male,Finland,41,Data Scientist,Python,Doctoral degree,Physics,More than 10 years,High school
Male,Finland,27,Data Analyst,R,Bachelor's degree,,1 to 2 years,A master's degree
Male,Taiwan,24,Researcher,Python,Master's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,Russia,40,Software Developer/Software Engineer,Python,Master's degree,Mathematics or statistics,1 to 2 years,A master's degree
Male,India,24,Machine Learning Engineer,R,Bachelor's degree,Electrical Engineering,1 to 2 years,I prefer not to answer
Male,India,23,Data Scientist,Python,Bachelor's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,Germany,47,Statistician,R,Doctoral degree,,More than 10 years,High school
Male,United Kingdom,30,Machine Learning Engineer,Python,Master's degree,A humanities discipline,6 to 10 years,A doctoral degree
Male,Australia,33,,,,,,
Male,India,22,Machine Learning Engineer,Python,Some college/university study without earning a bachelor's degree,Computer Science,3 to 5 years,A professional degree
Female,Netherlands,27,,R,Master's degree,Computer Science,1 to 2 years,I don't know/not sure
Male,Germany,28,Scientist/Researcher,Python,Master's degree,Management information systems,3 to 5 years,A professional degree
A different identity,Greece,34,Data Scientist,Python,Doctoral degree,Mathematics or statistics,6 to 10 years,"Some college/university study, no bachelor's degree"
Male,Ukraine,20,Software Developer/Software Engineer,Python,I did not complete any formal education past high school,,Less than a year,A master's degree
Male,Nigeria,23,,,Bachelor's degree,Other,3 to 5 years,A master's degree
Male,Taiwan,29,Data Scientist,Python,Master's degree,Engineering (non-computer focused),3 to 5 years,A bachelor's degree
Male,Spain,59,Data Scientist,Python,Doctoral degree,Other,More than 10 years,Primary/elementary school
Male,India,24,,Python,Bachelor's degree,Computer Science,Less than a year,
Female,Ireland,40,Data Scientist,Python,Bachelor's degree,A social science,1 to 2 years,Primary/elementary school
Male,France,25,Data Scientist,Scala,Master's degree,Engineering (non-computer focused),3 to 5 years,A master's degree
Male,Sweden,39,Researcher,R,Doctoral degree,A social science,More than 10 years,A bachelor's degree
Male,Italy,17,,Python,I prefer not to answer,Computer Science,,
Male,Spain,35,Researcher,C/C++/C#,Doctoral degree,Other,3 to 5 years,A master's degree
Male,Germany,33,Other,R,Doctoral degree,Other,3 to 5 years,High school
Male,South Korea,35,,R,Doctoral degree,Computer Science,6 to 10 years,High school
Male,France,27,Data Scientist,Python,Master's degree,Mathematics or statistics,3 to 5 years,A master's degree
Male,Russia,31,Data Analyst,Python,Master's degree,Mathematics or statistics,6 to 10 years,A professional degree
Male,Other,23,Programmer,Python,Bachelor's degree,Computer Science,1 to 2 years,A master's degree
Male,United States,39,Data Analyst,R,Master's degree,A social science,3 to 5 years,A bachelor's degree
Male,Hungary,30,Data Analyst,R,Master's degree,A social science,1 to 2 years,High school
Male,India,31,Scientist/Researcher,R,Master's degree,Computer Science,I don't write code to analyze data,A bachelor's degree
Male,Norway,25,Data Analyst,Python,Master's degree,Physics,1 to 2 years,A master's degree
Male,United Kingdom,35,Software Developer/Software Engineer,SQL,Bachelor's degree,Electrical Engineering,More than 10 years,High school
Female,Ukraine,25,Computer Scientist,C/C++/C#,Master's degree,Computer Science,I don't write code to analyze data,A master's degree
Male,Singapore,24,,Python,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,
Male,India,34,,Python,Master's degree,Computer Science,,
Male,United States,24,Software Developer/Software Engineer,R,Bachelor's degree,Mathematics or statistics,3 to 5 years,A bachelor's degree
Female,United Kingdom,29,Scientist/Researcher,Matlab,Master's degree,Computer Science,1 to 2 years,A bachelor's degree
Female,India,35,Data Analyst,Python,Master's degree,Mathematics or statistics,Less than a year,A bachelor's degree
Male,Germany,25,,,,,,
Male,Russia,27,Software Developer/Software Engineer,Python,Professional degree,,3 to 5 years,A professional degree
Male,Philippines,37,Engineer,SQL,Bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,A master's degree
Male,India,25,Software Developer/Software Engineer,R,Bachelor's degree,Computer Science,Less than a year,Primary/elementary school
Male,India,27,Software Developer/Software Engineer,R,Master's degree,Computer Science,1 to 2 years,A master's degree
Male,United Kingdom,24,Data Scientist,R,Master's degree,,1 to 2 years,A bachelor's degree
Male,India,21,,Python,Some college/university study without earning a bachelor's degree,Mathematics or statistics,Less than a year,A bachelor's degree
Male,India,32,Data Scientist,R,Bachelor's degree,Electrical Engineering,1 to 2 years,High school
Male,France,51,Data Scientist,Python,Doctoral degree,Physics,1 to 2 years,Primary/elementary school
Male,Canada,49,Programmer,Python,Master's degree,Computer Science,More than 10 years,High school
Female,France,58,,,,,,
Male,Belgium,32,Scientist/Researcher,Python,Master's degree,Computer Science,6 to 10 years,A professional degree
Male,Germany,41,,,,,,
Male,South Africa,37,Data Scientist,Python,Master's degree,A social science,More than 10 years,"Some college/university study, no bachelor's degree"
Male,Poland,31,Data Scientist,Other,Master's degree,Computer Science,1 to 2 years,A master's degree
Male,India,31,Other,Python,Master's degree,Other,I don't write code to analyze data,No education
Male,Russia,19,Machine Learning Engineer,Python,I did not complete any formal education past high school,,1 to 2 years,A doctoral degree
Male,Russia,22,Predictive Modeler,Python,Bachelor's degree,Computer Science,Less than a year,A bachelor's degree
Female,Singapore,25,Business Analyst,SQL,Bachelor's degree,Electrical Engineering,Less than a year,"Some college/university study, no bachelor's degree"
Male,India,27,Business Analyst,Python,Bachelor's degree,Computer Science,3 to 5 years,Primary/elementary school
Male,India,22,,Python,Bachelor's degree,Biology,Less than a year,A master's degree
Male,India,30,Software Developer/Software Engineer,Python,Professional degree,,1 to 2 years,A bachelor's degree
Male,India,27,Data Analyst,Python,Bachelor's degree,Computer Science,3 to 5 years,A master's degree
Male,Spain,27,Data Scientist,,Master's degree,Engineering (non-computer focused),3 to 5 years,A doctoral degree
Male,India,22,Scientist/Researcher,Python,Bachelor's degree,Computer Science,Less than a year,A master's degree
Male,Netherlands,48,Data Scientist,Python,Master's degree,Mathematics or statistics,More than 10 years,A doctoral degree
Male,United States,28,,Python,Master's degree,Computer Science,3 to 5 years,A master's degree
Male,Indonesia,37,,,,,,
Male,Czech Republic,33,Data Scientist,R,Doctoral degree,Mathematics or statistics,3 to 5 years,"Some college/university study, no bachelor's degree"
Male,India,40,Data Analyst,R,Professional degree,,6 to 10 years,
Male,Canada,26,Data Scientist,Python,Bachelor's degree,Computer Science,6 to 10 years,High school
Male,United Kingdom,17,,Python,I did not complete any formal education past high school,,,
Male,United Kingdom,29,Software Developer/Software Engineer,Python,Doctoral degree,Physics,3 to 5 years,A bachelor's degree
Male,Germany,35,,R,Master's degree,Computer Science,1 to 2 years,"Some college/university study, no bachelor's degree"
Male,Germany,38,Other,Python,Doctoral degree,Physics,More than 10 years,Primary/elementary school
Male,Australia,27,,Python,Master's degree,Computer Science,1 to 2 years,A bachelor's degree
Male,Denmark,38,Scientist/Researcher,R,Doctoral degree,Management information systems,More than 10 years,High school
Male,Germany,44,Software Developer/Software Engineer,Python,I did not complete any formal education past high school,,More than 10 years,A professional degree
Male,India,26,Software Developer/Software Engineer,Python,Bachelor's degree,Computer Science,1 to 2 years,A master's degree
Male,United States,25,Software Developer/Software Engineer,R,Bachelor's degree,Other,6 to 10 years,A master's degree
Female,India,28,Researcher,Python,Master's degree,Computer Science,3 to 5 years,A bachelor's degree
Male,Singapore,30,Software Developer/Software Engineer,Python,Bachelor's degree,Mathematics or statistics,1 to 2 years,A bachelor's degree
